groupid;id;Anzahl_Vorhanden
;00df1e106d42e402d0a89cf3c4d02db8d899c639;1.0
;00e0259fdb800b97468d386bade7446fb0ed2b4d;1.0
;00e1cd91fea7d1d7c9628abaf001ac6771e207d9;1.0
;00e35423473764fcc4d69fb60d66cc77d7081880;3.0
;00e757065bc00eb624c8544176a5b3f1e28b9a13;3.0
;00e8353a1f9742045390b1225102f0ed26573038;1.0
;00ebaa6c53dccf3ae1d06d40a1b798cf169791ad;21.0
;00edc690fb0fc34ec9d2fd5cb1fc50d3f2e1793b;21.0
;00f54acd27049addb4a3ed1eec419a5b52ded484;1.0
;00fabe9027ade9d5bccbd17d13027c8270a77faf;1.0
;00fba45e568092c1ee7a7d3de26cd9559c62e684;1.0
;010653949a85d644a16533e5f10693fc8b3a9457;1.0
;0106ca102bdd5df370c6193c86c0ae09f257bf68;1.0
;010c3325bf2dff97398711ba3781ee246abf923c;1.0
;01116e8f5aca95c54d940dbeae6968827753bfc3;1.0
;01150fc3c54333d2e014ce6b20c33dec3d9cf1a5;9.0
;01157e343f96c838342e5e89359f63fcb601f29c;1.0
;011a79f8e39b75bba8736158b727f5a9db59994d;2.0
;011e4cbf9e271fbafaf9b65b0940a0b60f434e9e;3.0
;011f9bba99f665d56898506d89e76b9e8985f863;1.0
;0120e3b2fe501e94c74902b739dfaa55ff36feaf;3.0
;0124612f52b8982d5ea7a962bcff029006185db2;27.0
;0127d01800c67eda545c4129f58d950d5dc8bc36;1.0
;01319f2fa1cdd9f98460f73d9c1ecada87558970;1.0
;01363a45814d71c611df1b1ad1b90dc04d6de129;8.0
;013647af2ff521718ffed18fbf0ae40b18dad7b9;9.0
;0138cf2ef7e3e1fa4f0a7640d8d1eff986877637;4.0
;013ae7026d81ec4e2147f5a48a9c463c25ba7e70;1.0
;0140994ae9c4eb6b9f38c64707e97898e7cc0233;1.0
;0142b60d4fa8c08e209620ebbe14c959e1b37bff;13.0
;01432ddfda43719db2ccf178d8c5d0d5b75cde0d;1.0
;0149f40a902d7a8f5a65e75742bda874784f5f91;1.0
;0153931b105c193a3a7493abd100526b787d2bb6;9.0
;01545708808dabfe9d5bf516a34c0675112a0d2d;2.0
;01545e858846f247b57d6d05c1a7cf86faff4791;22.0
;0154630ba060502e745abfe9e75c64cd38a472f2;1.0
;015933c65a663ddf7e2bdd2e836dcf2d87767f80;1.0
;015d9281fba04cf00ecd7644f06384abc1e2f532;1.0
;015e2a1728c80c606c8c599357703ab691bed687;17.0
;015f19343ed8a93e34f32c64d35eecb4ddb958df;5.0
;01649b95f900a11564f3263f2517d55d6f73ff6d;7.0
;0165bc2b8ea8d9481978ecfa2abd1523892a9074;1.0
;0165dd20a66ef4ba913d93a71ba6563374e12604;1.0
;0166d78bbb77f93225bd43eaf3c961ceede06f17;22.0
;016fb718621c1e10f92b28825d4d3e082cc4a1ee;5.0
;01727f113080b3f32a95f02e7eb126577d757b87;2.0
;0173ee26f5409f531f0151bd943b6625e741785f;7.0
;01748008424f4872f438f47af6dac10cfc94f780;5.0
;0175a69fcf8c82f4ddf9353fdcb0dcc2e890e1fa;1.0
;017fa7a45350ea18b435803564f22c4aea69ee97;9.0
;01825feb64c9b92700e1780f4e1709221fe441aa;7.0
;01837f57079d3fcaa1e56d6ccc203de57b477f05;1.0
;0184420f32b3f140c621f801e6e79337824029b6;6.0
;018a589f127e01e50bf7e3028e22b1058824d467;1.0
;018bf8946887d7cd78d0536dc4d583d6a5992de9;34.0
;018cf36e1488d9ccee10a81cc0ea6812c0070ce3;1.0
;019088e0754584eb4cf8837d869d6c91fc919728;10.0
;0193c6a4b57abe93bc5fed69412496b489f001c8;3.0
;019423b03dc009bd82d95446223a5d72264cc3aa;6.0
;019ff2a23a32bb02e941defff5117df69d12ea17;1.0
